scene_id,sensor,platform,level,aoi,tile_or_pathrow,datetime,cloud_cover,source,download_status,l1_path,l1_deleted,acolite_status,product_set,l2w_path,l2w_size_mb,attempts,error,updated_at
S2A_MSIL1C_20260828T145751_N0512_R039_T19QHV_20260829T010322.SAFE,S2,S2A,L1C,pr_main_east,,,,CDSE,done,/Volumes/Ray_SSD/EMC/Projects/Satellite_Pipeline/S2/L1C/S2A_MSIL1C_20260828T145751_N0512_R039_T19QHV_20260829T010322.SAFE,False,,,,,3,,2026-08-31T16:53:20Z
S2C_MSIL1C_20260809T150721_N0512_R082_T20QKE_20260809T183127.SAFE,S2,S2C,L1C,pr_main_east,,,,CDSE,done,/Volumes/Ray_SSD/EMC/Projects/Satellite_Pipeline/S2/L1C/S2C_MSIL1C_20260809T150721_N0512_R082_T20QKE_20260809T183127.SAFE,False,,,,,3,,2026-08-31T17:05:23Z
S2A_MSIL1C_20260828T145751_N0512_R039_T19QHA_20260829T010322.SAFE,S2,S2A,L1C,pr_main_east,,,,CDSE,done,/Volumes/Ray_SSD/EMC/Projects/Satellite_Pipeline/S2/L1C/S2A_MSIL1C_20260828T145751_N0512_R039_T19QHA_20260829T010322.SAFE,False,,,,,3,,2026-08-31T17:13:01Z
S2B_MSIL1C_20260804T150719_N0512_R082_T20QKE_20260804T182348.SAFE,S2,S2B,L1C,pr_main_east,,,,CDSE,done,/Volumes/Ray_SSD/EMC/Projects/Satellite_Pipeline/S2/L1C/S2B_MSIL1C_20260804T150719_N0512_R082_T20QKE_20260804T182348.SAFE,False,,,,,3,,2026-08-31T17:27:06Z
S2C_MSIL1C_20260809T150721_N0512_R082_T19QHV_20260809T183127.SAFE,S2,S2C,L1C,pr_main_east,,,,CDSE,done,/Volumes/Ray_SSD/EMC/Projects/Satellite_Pipeline/S2/L1C/S2C_MSIL1C_20260809T150721_N0512_R082_T19QHV_20260809T183127.SAFE,False,,,,,3,,2026-08-31T17:49:45Z
S2C_MSIL1C_20260809T150721_N0512_R082_T19QHA_20260809T183127.SAFE,S2,S2C,L1C,pr_main_east,,,,CDSE,done,/Volumes/Ray_SSD/EMC/Projects/Satellite_Pipeline/S2/L1C/S2C_MSIL1C_20260809T150721_N0512_R082_T19QHA_20260809T183127.SAFE,False,,,,,3,,2026-08-31T18:11:31Z
S2C_MSIL1C_20260809T150721_N0512_R082_T19QGV_20260809T183127.SAFE,S2,S2C,L1C,pr_main_east,,,,CDSE,failed,,,,,,,3,"ChunkedEncodingError: (""Connection broken: ConnectionResetError(54, 'Connection reset by peer')"", ConnectionResetError(54, 'Connection reset by peer'))",2026-08-31T18:18:28Z
S2A_MSIL1C_20260808T145751_N0512_R039_T19QHV_20260808T231233.SAFE,S2,S2A,L1C,pr_main_east,,,,CDSE,done,/Volumes/Ray_SSD/EMC/Projects/Satellite_Pipeline/S2/L1C/S2A_MSIL1C_20260808T145751_N0512_R039_T19QHV_20260808T231233.SAFE,False,,,,,3,,2026-08-31T18:36:49Z
S2B_MSIL1C_20260804T150719_N0512_R082_T19QGV_20260804T182348.SAFE,S2,S2B,L1C,pr_main_east,,,,CDSE,done,/Volumes/Ray_SSD/EMC/Projects/Satellite_Pipeline/S2/L1C/S2B_MSIL1C_20260804T150719_N0512_R082_T19QGV_20260804T182348.SAFE,False,,,,,3,,2026-08-31T18:55:09Z
S2B_MSIL1C_20260804T150719_N0512_R082_T20QKF_20260804T182348.SAFE,S2,S2B,L1C,pr_main_east,,,,CDSE,done,/Volumes/Ray_SSD/EMC/Projects/Satellite_Pipeline/S2/L1C/S2B_MSIL1C_20260804T150719_N0512_R082_T20QKF_20260804T182348.SAFE,False,,,,,3,,2026-08-31T19:07:40Z
